postalcode,street,lat,lng,price,area,volume,floors,year_build,has_garden,type,photos,rooms
1015 RC Amsterdam,Egelantiersgracht 31 -2,52.37618,4.883068,295000,38,125,4,1906,0,appartement,13,2
1063 HJ Amsterdam,Cornelis de Grootpad 3,52.38279,4.825558999999999,245000,85,280,2,1955,1,woonhuis,22,4
1091 LV Amsterdam,Hofmeyrstraat 7 -hs,52.351729999999996,4.915298,200000,43,105,4,1926,1,appartement,12,2
1012 RK Amsterdam,Nieuwezijds Voorburgwal 169 D,52.3723,4.89095,550000,89,310,2,1906,0,appartement,36,4
1011 TT Amsterdam,Rapenburg 3 III-B,52.371970000000005,4.907479,325000,65,157,1,1850,0,appartement,22,1
1074 EB Amsterdam,Ceintuurbaan 428 - II,52.35503,4.902463,349000,53,145,4,1906,0,appartement,22,3
1058 GA Amsterdam,Saskia van Uijlenburgkade 57,52.35635,4.8450690000000005,750000,120,313,1,2010,1,appartement,32,5
1012 RN Amsterdam,Wijdesteeg 3 L,52.37153,4.889751,604840,69,225,4,1906,0,appartement,26,2
1018 GP Amsterdam,Sarphatistraat 62 D,52.36121,4.90899,599000,80,250,1,2000,0,appartement,27,2
1102 VA Amsterdam,Barbusselaan 266,52.3194,4.944952,119000,43,134,1,1985,0,appartement,13,2
1086 ZR Amsterdam,Zeeburgerbaai bwnr. 7 (Bouwnr. 0),52.36073,4.98065,700000,155,589,3,2017,1,woonhuis,7,5
1066 PW Amsterdam,Kempenlaan 19,52.345240000000004,4.807022,585000,170,340,6,1994,0,appartement,24,4
1055 TK Amsterdam,Bestevâerstraat 159 III,52.37788,4.858435,492000,92,309,5,1906,1,appartement,23,4
1024 XR Amsterdam,Dijkmanshuizenstraat 130,52.39672,4.959264,275000,80,315,1,2011,1,appartement,34,3
1063 BK Amsterdam,Burgemeester De Vlugtlaan 177,52.381879999999995,4.818128,29500,0,0,1,0,0,parkeergelegenheid,1,1
1107 PS Amsterdam,Tongerenstraat 68,52.293929999999996,4.968832,255000,119,395,3,1983,1,woonhuis,21,5
1023 NM Amsterdam,Schellingwouderdijk 372 c,52.38126,4.966081,179511,68,230,1,1900,0,woonhuis,27,4
1102 CD Amsterdam,Hoogoord 86,52.31232,4.9537629999999995,169500,94,248,1,1969,0,appartement,11,4
1066 TC Amsterdam,Kortrijk 56,52.34362,4.8021709999999995,625000,150,450,3,1995,1,woonhuis,34,5
1059 XH Amsterdam,Piet Gijzenbrugstraat 6 -1,52.35083,4.846707,275000,52,254,1,1933,0,appartement,19,2
1055 RZ Amsterdam,Nieuwpoortstraat 86 A 21,52.38425,4.857436,265000,49,172,1,2017,0,appartement,20,2
1061 CC Amsterdam,Ernest Staesstraat 45 I,52.37676,4.839608999999999,308000,80,198,2,1945,1,appartement,8,6
1055 EK Amsterdam,Bos en Lommerplein 42,52.37834,4.8468290000000005,315000,80,210,2,2003,0,appartement,19,3
1091 ER Amsterdam,Weesperzijde 127 4,52.350120000000004,4.91246,899000,110,320,1,1913,0,appartement,38,3
1058 VA Amsterdam,Theophile de Bockstraat 73 -3,52.35475,4.847437,299000,61,207,1,1906,0,appartement,29,3
1051 NH Amsterdam,Marcantilaan 336,52.37395,4.867353,225000,41,127,5,1984,0,appartement,22,2
1074 XN Amsterdam,Tweede Jan van der Heijdenstraat 49 1,52.35575,4.901269,375000,72,187,1,1930,0,appartement,1,4
1015 GB Amsterdam,Brouwersgracht 35 -B,52.37916,4.8911430000000005,825000,105,341,3,1625,1,appartement,35,5
1023 EL Amsterdam,Monnikendammerplantsoen 5,52.38816,4.949975,250000,61,180,2,1931,1,woonhuis,50,4
1073 VA Amsterdam,Sint Willibrordusstraat 75 3,52.35403,4.9010940000000005,275000,43,132,1,1903,0,appartement,29,2
1074 TV Amsterdam,Lutmastraat 191,52.3518,4.90365,55000,0,0,1,0,0,parkeergelegenheid,3,1
1068 DA Amsterdam,Ruimzicht 311,52.3618,4.80995,325000,88,267,1,1960,0,appartement,23,4
1078 AZ Amsterdam,Amstelkade 169 A-1,52.34803,4.888612,425000,81,273,1,1936,0,appartement,17,4
1082 TN Amsterdam,Frieslandstraat 167,52.3334,4.87611,199500,46,140,1,1963,1,appartement,16,2
1017 ZT Amsterdam,Nicolaas Witsenkade 31 H*,52.358290000000004,4.896397,700000,105,342,1,1892,0,appartement,28,3
1051 BW Amsterdam,Van Hogendorpstraat 142 III,52.382870000000004,4.871949,425000,77,210,2,1911,0,appartement,23,3
1021 HL Amsterdam,Fazantenweg 67,52.38763,4.921347,235000,67,198,1,1990,0,appartement,20,3
1025 DS Amsterdam,H. Cleyndertweg 423,52.4028,4.93692,30000,0,0,1,0,0,parkeergelegenheid,1,1
1071 RT Amsterdam,Frans van Mierisstraat 24 H,52.3548,4.882965,1295000,173,595,5,1905,1,appartement,40,6
1060 LX Amsterdam,Cycladenlaan 68 .,52.34625,4.790261,545000,0,0,1,0,0,,1,1
1091 GT Amsterdam,Eerste Oosterparkstraat 35 I,52.35593,4.908487,295000,53,168,1,1906,0,appartement,21,3
1092 TG Amsterdam,Vrolikstraat 431 B,52.35778,4.923133999999999,485000,99,278,5,1998,0,appartement,16,3
1033 XE Amsterdam,Eenhoornhof 4 H,52.41559,4.878018,150000,43,165,1,1945,1,appartement,20,2
1034 LH Amsterdam,Bramzeilhof 32,52.40838,4.921385,187500,75,245,1,1976,1,appartement,24,3
1016 GX Amsterdam,Prinsengracht 309 /pp,52.373259999999995,4.883364,75000,0,0,1,0,0,parkeergelegenheid,1,1
1025 HT Amsterdam,Het Breed 529,52.3967,4.9393,275000,100,314,17,1968,0,appartement,27,3
1056 PJ Amsterdam,Orteliusstraat 240 -2,52.37135,4.8487029999999995,250000,51,166,1,1935,0,appartement,14,3
1072 SG Amsterdam,Karel du Jardinstraat 33 IV,52.351290000000006,4.893815,1295000,193,1000,4,1906,0,appartement,12,4
1011 TZ Amsterdam,Rapenburg 78,52.3709,4.90911,399000,58,135,1,1906,0,appartement,17,2
1096 DT Amsterdam,STATE Amsterdam (Bouwnr. 302),52.33965,4.9245220000000005,1378018,220,550,1,2017,0,appartement,1,5
1087 CL Amsterdam,IJburglaan 831,52.35672,4.993089,299000,0,0,1,0,0,,1,1
1069 SC Amsterdam,Pieter Calandlaan 1049,52.351440000000004,4.798222,275000,103,268,1,2006,0,appartement,25,3
1016 ES Amsterdam,Huidenstraat 10 A,52.36887,4.885914,750000,135,424,3,1906,0,appartement,26,4
1055 PS Amsterdam,Haarlemmerweg 651 HS,52.3847,4.8480550000000004,299000,64,230,1,1934,1,appartement,16,3
1055 PH Amsterdam,Van Gentstraat 38 -1,52.38409,4.851780000000001,225000,49,153,1,1938,0,appartement,17,3
1011 MH Amsterdam,Valkenburgerstraat 151,52.36922,4.906581,350000,70,206,1,1998,0,appartement,22,3
1082 VW Amsterdam,Wijenburg 84,52.33232,4.871817,275000,77,200,1,1963,0,appartement,17,4
1077 LX Amsterdam,Albrecht Dürerstraat 41 II,52.34779,4.87614,1200000,193,637,3,1930,1,appartement,26,8
1078 HZ Amsterdam,Deurloostraat 10 -I,52.34632,4.894164,440000,86,232,1,1906,0,appartement,32,3
1012 GL Amsterdam,Oudezijds Voorburgwal 310 A,52.37,4.8941300000000005,515000,75,272,1,1906,0,appartement,20,2
1056 BK Amsterdam,Jan van Galenstraat 111 B,52.37465,4.859486,299000,71,222,1,1923,0,appartement,20,2
1067 TC Amsterdam,Osdorperweg 824 D,52.37635,4.768248000000001,449000,163,473,3,1998,1,woonhuis,19,6
1091 MS Amsterdam,Ruyschstraat 357,52.358670000000004,4.914244,325000,57,179,1,1900,0,appartement,30,3
1103 JW Amsterdam,Bijlmerdreef 1218,52.32242,4.971878,175000,79,233,1,2001,0,appartement,10,3
1012 NC Amsterdam,Sint Jacobsstraat 5 A,52.37643,4.895555,329000,62,170,1,1991,0,appartement,20,3
1011 AN Amsterdam,Prins Hendrikkade 127 F,52.373999999999995,4.90511,625000,119,295,2,1906,0,appartement,35,5
1064 MN Amsterdam,Nannie van Wehlstraat 3,52.37999,4.810077,250000,88,320,1,1988,0,woonhuis,1,3
1052 LP Amsterdam,Hugo de Grootkade 8 A2,52.37345,4.874347,239000,41,135,1,1890,0,appartement,23,1
1053 DD Amsterdam,Kinkerstraat 43 II-voor,52.3677,4.874251,199000,30,90,5,1886,0,appartement,27,2
1058 KJ Amsterdam,Haarlemmermeerstraat 146 I,52.35246,4.850154,325000,55,180,1,1930,0,appartement,15,3
1060 PJ Amsterdam,Ladogameerhof 84,52.35085,4.781172,249000,83,225,4,1999,0,appartement,13,3
1025 WB Amsterdam,Buiksloterdijk 146,52.395759999999996,4.923662,1200000,182,627,3,1892,1,woonhuis,66,6
1024 EZ Amsterdam,Grootslagstraat 29,52.39875,4.9562029999999995,300000,90,257,1,2008,0,woonhuis,1,4
1066 GE Amsterdam,Duke Ellingtonstraat 50,52.34383,4.826892,260000,80,244,1,1991,0,appartement,25,3
1066 KG Amsterdam,Diepenbeekplantsoen 67,52.34792,4.818872,359000,135,365,3,1991,1,woonhuis,26,6
1061 BV Amsterdam,Blauwvoetstraat 16 III,52.37669,4.839492,201500,51,140,1,1952,0,appartement,18,3
1075 BH Amsterdam,Valeriusplein 14 A,52.352340000000005,4.863517,1450000,138,491,2,1906,1,appartement,38,5
1025 CW Amsterdam,Dijkwater 239,52.40113,4.93649,199000,66,207,1,1980,0,appartement,25,2
1068 MK Amsterdam,Osdorper Ban 90 A8,52.36201,4.7987400000000004,199500,78,235,1,2003,0,appartement,14,2
1072 HM Amsterdam,Dusartstraat 25 hs,52.35205,4.889476999999999,385000,63,266,1,1991,0,appartement,20,2
1016 AD Amsterdam,Singel 286 D,52.371990000000004,4.888037000000001,539000,91,276,3,1906,1,appartement,31,3
1033 LB Amsterdam,Mandarijnenstraat 47,52.40961,4.898251,240000,70,255,2,1952,1,woonhuis,29,3
1011 KB Amsterdam,Kloveniersburgwal 93 -C,52.3692,4.897463,650000,111,285,2,1825,0,appartement,26,3
1054 ES Amsterdam,Stadhouderskade 21 D,52.36203,4.880659,895000,142,464,2,1991,0,appartement,40,3
1102 ZR Amsterdam,Dantestraat 160,52.32569,4.9493279999999995,96000,34,106,1,1984,0,appartement,15,1
1087 BC Amsterdam,Johan van der Keukenstraat 113,52.36003,4.990108,495000,148,543,3,2001,1,woonhuis,39,6
1013 BH Amsterdam,Westerdok 362,52.38473,4.891712999999999,1050000,147,540,3,2008,0,appartement,45,5
1011 MR Amsterdam,Koerierstersplein 6,52.3693,4.907488,339500,67,206,1,1998,0,appartement,15,3
1095 MS Amsterdam,Zeeburger Zilt 2 (Bouwnr. 104),52.37195,4.965528,366963,92,230,1,2011,0,appartement,7,3
1015 XD Amsterdam,Westerkade 10 1 l,52.37621,4.877959,170000,22,50,5,1930,0,appartement,16,1
1064 EE Amsterdam,Burgemeester Hogguerstraat 969,52.37345,4.828092,189000,0,0,1,0,0,,1,1
1075 EW Amsterdam,Valeriusstraat 177 II,52.35203,4.861193,495000,60,222,1,1906,0,appartement,23,2
1051 KP Amsterdam,Haarlemmerweg 43 3,52.3854,4.877528,339000,77,249,2,1886,0,appartement,22,3
1011 BW Amsterdam,Kromme Waal 35 -2,52.37384,4.90276,600000,96,260,1,1906,0,appartement,39,3
1019 HR Amsterdam,Zeeburgerkade 524,52.36922,4.944012,420000,112,419,2,1898,0,appartement,44,4
1013 PL Amsterdam,Van Linschotenstraat 45,52.38922,4.887444,175000,37,120,4,1905,0,appartement,18,2
1074 JH Amsterdam,Amsteldijk 728 A,52.351859999999995,4.909115,1400000,220,900,2,2011,1,woonhuis,40,5
1063 LK Amsterdam,Willem Molengraaffstraat 18 1,52.38394,4.813375,175000,62,205,1,1955,0,appartement,26,3
1011 NX Amsterdam,Waterlooplein 29 A+D,52.36891,4.901343,1195000,225,692,2,1997,0,appartement,30,6
1053 WX Amsterdam,Da Costakade 175 2A,52.36744,4.874265,215000,28,68,1,2011,0,appartement,19,2
1094 GB Amsterdam,Celebesstraat 142,52.35836,4.936630999999999,325000,77,228,1,1998,0,appartement,15,3
1017 RL Amsterdam,Lijnbaansgracht 270 B,52.36229,4.885927,335000,50,163,1,1892,0,appartement,19,2
1103 SK Amsterdam,Glitterstraat 104,52.321870000000004,4.979258,179500,79,248,1,2007,0,appartement,17,3
1035 NX Amsterdam,Hendrik Soeteboomstraat 12,52.417790000000004,4.896294,550000,118,391,2,1930,1,woonhuis,30,4
1017 NM Amsterdam,Lange Leidsedwarsstraat 60 A,52.36489,4.883069,239000,46,120,1,1978,0,appartement,18,2
1022 KK Amsterdam,H. Stolleplantsoen 4,52.40815,4.933568,499000,180,636,4,2009,1,woonhuis,32,6
1073 AT Amsterdam,Stadhouderskade 83 B,52.35777,4.8932910000000005,355000,62,230,1,1906,0,appartement,16,3
1053 HB Amsterdam,Jacob van Lennepstraat 31 -III-A,52.36667,4.875056,225000,34,103,1,1906,0,appartement,13,2
1055 ZT Amsterdam,Solebaystraat 82 -I,52.38423,4.854642,200000,50,161,1,1934,0,appartement,23,3
1097 WL Amsterdam,Veeteeltstraat 9 a,52.341840000000005,4.948482,249009,62,174,1,1925,1,appartement,27,3
1107 RC Amsterdam,Tielstraat 113,52.29197,4.9690959999999995,171000,0,0,1,0,0,,1,1
1055 RZ Amsterdam,Nieuwpoortstraat 94 C12,52.38431,4.857044999999999,245000,49,173,1,2017,1,appartement,20,2
1016 AE Amsterdam,Singel 326 -328,52.37082,4.887798,2150000,276,833,2,1906,0,appartement,35,5
1071 KL Amsterdam,Jacob Obrechtstraat 14 I,52.3567,4.87469,795000,111,301,2,1898,1,appartement,34,3
1092 CB Amsterdam,Eikenweg 72 III,52.35715,4.922067,175000,31,105,1,1906,0,appartement,14,2
1035 PW Amsterdam,Landsmeerderdijk 14,52.415820000000004,4.89858,899000,173,527,2,1915,1,woonhuis,38,6
1024 EW Amsterdam,Waalenburgsingel 280,52.39545,4.96016,175000,75,197,1,1960,0,appartement,22,3
1018 XE Amsterdam,Valckenierstraat 43 III,52.36227,4.910474,325000,58,181,1,1906,0,appartement,29,2
1086 ZJ Amsterdam,IJburglaan 161,52.36308,4.981378,310000,91,235,1,2008,0,appartement,29,2
1016 SG Amsterdam,Elandsstraat 28,52.37075,4.88134,650000,125,434,1,1906,0,appartement,22,3
1067 MX Amsterdam,Troelstralaan 255 B,52.37362,4.800999,189000,45,120,4,2016,0,appartement,20,3
1102 JD Amsterdam,Huntum 56 D,52.30713,4.963279,450000,0,0,1,0,0,,1,1
1058 EC Amsterdam,Nachtwachtlaan 108,52.36104,4.843311,350000,98,250,1,1968,0,appartement,14,3
1028 AZ Amsterdam,Poppendammergouw 32,52.41963,5.024254,1975000,374,1048,2,1910,1,woonhuis,57,7
1011 CP Amsterdam,Nieuwe Ridderstraat 8 *,52.373509999999996,4.901854,815000,130,351,3,1906,0,appartement,10,4
1067 PV Amsterdam,De Savornin Lohmanstraat 571,52.37542,4.798,200000,47,160,1,2011,1,appartement,29,1
1019 PG Amsterdam,Bogortuin 72 Javakd,52.37751,4.933223,535000,103,328,1,2001,0,appartement,24,3
1033 BH Amsterdam,Kometensingel 299,52.41571,4.881989,300000,113,425,2,1923,1,woonhuis,36,5
1072 VZ Amsterdam,Daniël Stalpertstraat 19 2 hg,52.35644,4.88793,275000,43,137,5,1906,0,appartement,14,2
1056 PM Amsterdam,Orteliusstraat 278 IV,52.37234,4.848195,285000,48,154,4,1931,1,appartement,23,2
1087 EM Amsterdam,IJburglaan 828,52.35539,4.994276999999999,335000,96,291,1,2003,0,appartement,25,3
1096 AK Amsterdam,State Amsterdam,52.339529999999996,4.926469,3049915,488,1269,1,2019,0,appartement,7,7
1055 NR Amsterdam,Gibraltarstraat 60 HS,52.38384,4.850696,250000,71,185,4,1936,1,appartement,25,3
1035 LB Amsterdam,Sandwijk 20,52.42127,4.896449,339011,116,318,3,1994,1,woonhuis,31,4
1093 EE Amsterdam,Linnaeusstraat 33 A,52.36224,4.924304,335000,76,240,1,1985,0,appartement,22,3
1053 KB Amsterdam,Jacob van Lennepstraat 250 a,52.36399,4.864032,469000,73,200,1,1905,0,appartement,19,3
1060 NT Amsterdam,Brenner 51 .,52.35135,4.774473,400000,0,0,1,0,0,,1,1
1066 Amsterdam,Duke Ellingtonstraat,52.35026,4.829307,17500,0,0,1,0,0,parkeergelegenheid,1,1
1081 ER Amsterdam,Bolestein 772,52.324220000000004,4.859325,350000,91,288,1,1968,0,appartement,22,3
1035 XD Amsterdam,Stentorstraat 77 hs,52.419509999999995,4.900258999999999,210011,66,220,2,1955,1,appartement,25,3
1051 VB Amsterdam,Van der Hoopstraat 43 II,52.38435,4.874,375000,75,252,1,1906,0,appartement,19,3
1095 DK Amsterdam,Insulindeweg 792,52.361999999999995,4.944143,200000,56,167,1,1988,0,appartement,30,2
1019 RM Amsterdam,Sumatrakade 1319,52.3796,4.92511,32500,0,0,1,0,0,parkeergelegenheid,5,1
1071 XN Amsterdam,Hobbemakade 78 HS,52.35301,4.8860339999999995,350000,54,263,1,1905,1,appartement,25,2
1056 RL Amsterdam,Shackletonstraat 3 III,52.37272,4.852387,260000,72,229,1,1926,0,appartement,16,3
1055 RZ Amsterdam,Nieuwpoortstraat 94 A14,52.38425,4.856787000000001,240000,48,170,1,2017,1,appartement,20,2
1055 NR Amsterdam,Gibraltarstraat 66 HS,52.38413,4.850017,325000,77,220,1,1936,1,appartement,22,3
1098 JK Amsterdam,Archimedesweg 17 hs,52.3569,4.937632,799000,181,574,2,1901,1,appartement,26,7
1094 GR Amsterdam,Madurastraat 70 II,52.36422,4.934501,250000,50,166,1,1906,0,appartement,20,2
1032 CC Amsterdam,Hazelaarstraat 59,52.39513,4.916746,235000,55,200,2,1931,1,woonhuis,27,3
1075 HV Amsterdam,Emmastraat 24,52.35348,4.869176,3250000,349,1347,5,1906,1,woonhuis,59,8
1028 AX Amsterdam,Nieuwe Gouw,52.39968,4.982696,650000,0,0,1,0,0,object,1,1
1019 PW Amsterdam,Majanggracht 17,52.3783,4.93015,898000,210,550,5,2000,1,woonhuis,11,8
1068 GL Amsterdam,Martini van Geffenstraat 130,52.35785,4.803331,299000,130,335,2,2002,0,appartement,15,4
1056 KN Amsterdam,Geuzenkade 56 III,52.37344,4.864376,245000,52,173,1,1934,0,appartement,19,3
1091 TM Amsterdam,Overamstelstraat 125,52.35065,4.913874,275000,55,162,1,1993,0,appartement,46,3
1056 PW Amsterdam,Mercatorstraat 5 hs,52.37062,4.850855999999999,450000,86,273,1,1926,1,appartement,26,3
1079 JP Amsterdam,Vechtstraat 122 -II,52.34319,4.907233,300000,51,136,1,1934,0,appartement,13,3
1069 GA Amsterdam,Osdorper Ban 577,52.36055,4.794693,250000,92,270,1,2006,0,appartement,23,3
1072 HV Amsterdam,Dusartstraat 62 hs,52.3508,4.888745,945000,147,309,2,1906,1,appartement,35,6
1016 HR Amsterdam,Prinsengracht 495 II,52.36939,4.883013,975000,175,610,1,1880,0,appartement,25,5
1063 ER Amsterdam,Coronelstraat 21,52.384190000000004,4.8302190000000005,299000,85,265,2,1954,1,woonhuis,20,4
1061 BV Amsterdam,Blauwvoetstraat 12 hs,52.37655,4.839449,317500,79,213,2,1952,1,appartement,12,5
1063 NV Amsterdam,Burgemeester Van Leeuwenlaan 156,52.38159,4.813935,299000,103,303,3,1954,1,woonhuis,26,4
1067 XW Amsterdam,Burgemeester Röellstraat 606,52.37737,4.804601,215000,89,225,1,2004,0,appartement,26,3
1013 AK Amsterdam,Bouwnummer 114 (Bouwnr. 114),52.39695,4.881737,759000,168,681,4,2019,1,woonhuis,1,4
1025 AL Amsterdam,Elpermeer 132,52.40169,4.94918,30000,0,0,1,0,0,parkeergelegenheid,3,1
1055 CE Amsterdam,Esmoreitstraat 20 3,52.37721,4.851968,245000,55,180,2,1931,0,appartement,22,6
1015 XD Amsterdam,Westerkade 11 -C,52.376129999999996,4.877899,185500,25,77,1,1906,0,appartement,9,2
1102 ST Amsterdam,Anna Blamansingel 64,52.31624,4.9464879999999996,245000,102,286,1,2006,0,appartement,24,3
1054 VM Amsterdam,Staringstraat 5 L,52.36213,4.862439,375000,71,174,1,1990,0,appartement,25,3
1096 GJ Amsterdam,Welnastraat 321,52.33883,4.920624,159511,28,96,1,2015,0,appartement,24,1
1058 EM Amsterdam,Nachtwachtlaan 343,52.36295,4.84399,315000,98,250,1,1968,0,appartement,16,3
1087 AW Amsterdam,Johan van der Keukenstraat,52.35964,4.991691,14000,0,0,1,0,0,parkeergelegenheid,4,1
1053 ED Amsterdam,Kinkerstraat 112 1,52.36684,4.870297,199000,30,97,1,1906,0,appartement,15,2
1066 ER Amsterdam,Akersluis 11,52.34259,4.7924690000000005,589000,0,0,1,0,0,,1,1
1102 AC Amsterdam,Bijlmerdreef 538,52.31745,4.956918,250000,94,270,1,2007,0,appartement,29,3
1060 RX Amsterdam,Valutaboulevard 55,52.347970000000004,4.7896529999999995,450000,167,500,4,1998,1,woonhuis,24,5
1060 RX Amsterdam,Valutaboulevard 14,52.34815,4.787782,375000,141,409,4,1999,1,woonhuis,19,5
1058 TP Amsterdam,Westlandgracht 83 -2,52.353,4.846152,269500,55,181,1,1934,0,appartement,19,3
1081 KS Amsterdam,Schokkerspad 36,52.33106,4.855767,1350000,192,564,6,1991,0,appartement,33,5
1058 ST Amsterdam,Vogelenzangstraat 24 hs,52.35443,4.848292,325000,46,176,3,1931,1,appartement,29,3
1054 JZ Amsterdam,Overtoom 480 I,52.35933,4.8607569999999996,549000,93,307,5,1906,0,appartement,34,3
1061 TJ Amsterdam,Willy Sluiterstraat 104,52.36528,4.84172,360000,90,283,6,2013,0,appartement,23,4
1013 SJ Amsterdam,Wormerveerstraat 7 -HS R,52.38897,4.876869999999999,225000,38,135,1,1916,1,appartement,25,2
1071 CC Amsterdam,Pieter Cornelisz. Hooftstraat 90 II,52.3602,4.880108,895000,105,401,2,1906,0,appartement,26,2
1013 AK Amsterdam,Bouwnummer 116 (Bouwnr. 116),52.39695,4.881737,1107250,219,953,3,2019,1,woonhuis,2,3
1079 BN Amsterdam,Uiterwaardenstraat 9 -III,52.34213,4.9113940000000005,369000,56,177,1,1934,1,appartement,28,3
1053 SV Amsterdam,Jan Hanzenstraat 108 /III,52.36775,4.864326,185000,30,93,3,1906,0,appartement,22,1
1031 KB Amsterdam,Spadinalaan 64,52.38641,4.900607,519500,87,295,1,2010,0,appartement,16,2
1071 VN Amsterdam,Cornelis Anthoniszstraat 11 II,52.35349,4.883309,395000,53,175,1,1899,0,appartement,21,3
1107 VE Amsterdam,Snodenhoekpark 2,52.29095,4.974075,235000,104,337,2,1981,1,woonhuis,23,4
1012 RN Amsterdam,Wijdesteeg 3 K,52.37153,4.889751,604840,77,250,4,1906,0,appartement,25,2
1019 TB Amsterdam,J.F. van Hengelstraat 37,52.3744,4.94739,475000,101,318,2,1998,1,appartement,36,4
1013 LM Amsterdam,Prinseneiland 93 *,52.38535,4.886653,2850000,660,2000,5,1906,0,woonhuis,40,14
1051 GJ Amsterdam,Bentinckstraat 97 2,52.38304,4.871274,225000,38,128,1,1906,0,appartement,26,2
1013 PD Amsterdam,Dirk Hartoghstraat 83,52.389509999999994,4.885681,225000,47,151,5,1879,0,appartement,24,2
1071 LD Amsterdam,Palestrinastraat 15 BOVEN,52.356190000000005,4.876546,1100000,164,575,2,1906,1,appartement,41,4
1051 TZ Amsterdam,Joan Melchior Kemperstraat 138 -3,52.3848,4.870602,500000,106,300,2,1906,0,appartement,25,4
1074 EJ Amsterdam,Kuipersstraat 81,52.35354,4.903076,625000,97,358,1,1936,1,appartement,14,3
1078 AC Amsterdam,Amstelkade 19 I,52.34904,4.906286,350000,63,168,1,1922,0,appartement,32,3
1087 EN Amsterdam,IJburglaan 991,52.35606,4.994267,325000,95,330,1,2007,0,appartement,29,5
1018 TT Amsterdam,Plantage Muidergracht 151 hs,52.36385,4.917235,1450000,202,600,2,1890,1,appartement,20,6
1018 AV Amsterdam,Sarphatistraat 562,52.364329999999995,4.9207730000000005,545000,78,283,1,1906,1,appartement,13,3
1059 AB Amsterdam,Aalsmeerweg 29 -hs,52.35009,4.849695,895000,150,487,1,1928,1,appartement,37,5
1066 SL Amsterdam,Berlaarstraat 64,52.3455,4.80184,315000,100,300,2,1994,1,woonhuis,27,4
1024 AK Amsterdam,Jisperveldstraat 183,52.398379999999996,4.949818,35000,0,0,1,0,0,parkeergelegenheid,7,1
1102 XH Amsterdam,Charlotte Brontéstraat 138,52.32488,4.947121,175000,73,232,1,1983,0,appartement,17,3
1019 LG Amsterdam,KNSM-laan 461,52.37737,4.941651,500000,101,305,1,1996,0,appartement,44,4
1017 JH Amsterdam,Prinsengracht 1099 hs,52.362629999999996,4.900472,2180000,238,742,3,1688,1,appartement,48,6
1066 NV Amsterdam,Turnhoutplantsoen 60,52.34763,4.808206,339000,113,328,3,1992,1,woonhuis,24,5
1094 GC Amsterdam,Madurastraat 5 -C,52.36423,4.931785,250000,54,150,5,1985,0,appartement,16,3
1066 DJ Amsterdam,Ringvaartdijk 94,52.33334,4.802711,579000,0,0,1,0,0,,1,1
1025 CW Amsterdam,Dijkwater 207,52.40099,4.9368620000000005,189000,0,0,1,0,0,,1,1
1097 PS Amsterdam,Fahrenheitstraat 40,52.34308,4.924283,700000,152,529,3,1905,1,woonhuis,29,8
1094 EM Amsterdam,Celebesstraat 33 I,52.36396,4.931608,275000,61,213,5,1906,0,appartement,17,2
1087 GZ Amsterdam,Sanne Sanneshof 4,52.35611,4.997262999999999,279000,76,197,1,2004,0,appartement,17,3
1072 RA Amsterdam,Avercampstraat 29,52.35038,4.893105,290000,43,115,5,1986,0,appartement,10,2
1079 LL Amsterdam,Amsteldijk 280,52.3342,4.9017800000000005,2000000,400,1200,1,2017,1,woonhuis,11,8
1052 XX Amsterdam,Frederik Hendrikplantsoen 86 -3,52.37952,4.87516,850000,182,640,2,1906,0,appartement,34,8
1011 CP Amsterdam,Nieuwe Ridderstraat 12,52.37341,4.902033,750000,121,327,3,1906,0,woonhuis,10,4
1055 BA Amsterdam,Lanseloetstraat 3 -I,52.37639,4.849978,225000,56,190,1,1931,0,appartement,29,3
1097 ZK Amsterdam,Onderlangs 28,52.33937,4.947465,235000,52,156,1,1906,1,appartement,27,3
1017 JZ Amsterdam,Prinsengracht 763,52.363459999999996,4.887354,2550000,172,516,1,1960,0,appartement,14,3
1077 VD Amsterdam,Holbeinstraat 2 2,52.34649,4.875186,1395000,210,681,3,1932,0,appartement,37,5
1018 NX Amsterdam,Czaar Peterstraat 37 E,52.36878,4.927054,175000,29,75,4,1971,0,appartement,23,1
1063 ZK Amsterdam,Lex Althoffstraat 3 3,52.37952,4.830055000000001,199000,62,216,5,1953,0,appartement,18,2
1033 ZT Amsterdam,Mandenmakerspad 1,52.41868,4.884087999999999,300000,98,324,3,1989,1,woonhuis,23,4
1012 ZK Amsterdam,Blaeustraat 7,52.37443,4.891987,350000,56,136,1,1990,1,appartement,17,2
1069 TS Amsterdam,Langswater 180,52.35459,4.790407,149500,60,167,13,1965,0,appartement,10,3
1011 MJ Amsterdam,Valkenburgerstraat,52.36891,4.905781,50000,0,0,1,0,0,parkeergelegenheid,6,1
1069 EC Amsterdam,Langswater 379,52.35549,4.790136,175000,72,238,1,1969,0,appartement,23,3
1018 BH Amsterdam,Hoogte Kadijk 127 C,52.36847,4.918101,295000,55,171,1,1905,0,appartement,22,2
1013 NE Amsterdam,Westzaanstraat 67 B,52.388059999999996,4.881464,285000,69,220,1,1982,0,appartement,20,3
1076 CK Amsterdam,Stadionplein 89 HS,52.3428,4.857975,650000,157,554,4,1931,0,appartement,29,4
1093 HL Amsterdam,Reinwardtstraat 64,52.36057,4.926083,300000,70,230,1,1987,0,appartement,15,3
