postalcode,street,lat,lng,price,area,volume,floors,year_build,has_garden,type,photos,rooms
1107 AX Amsterdam,Wethouder In 't Veldstraat 57,52.2936,4.9915199999999995,159500,66,225,2,1984,0,appartement,18,3
1072 XP Amsterdam,Quellijnstraat 41 E,52.35695,4.889442,480000,68,211,4,1879,0,appartement,23,3
1056 DE Amsterdam,Hoofdweg 398 hs,52.3733,4.848873,215000,58,226,1,1931,1,appartement,13,2
1073 BG Amsterdam,Albert Cuypstraat 229 4,52.35641,4.896518,150000,25,87,1,1906,0,appartement,14,1
1077 BN Amsterdam,Michelangelostraat 7 II,52.34983,4.871137,1695000,222,718,3,1927,0,appartement,34,6
1033 ZP Amsterdam,Reizigersweg 215,52.417390000000005,4.8834349999999995,175000,52,153,4,1989,0,appartement,12,2
1079 JB Amsterdam,Vechtstraat 81 -III,52.34395,4.907430000000001,500000,113,355,5,1906,0,appartement,32,4
1055 BS Amsterdam,Sanderijnstraat 18 II,52.376999999999995,4.85111,244000,55,159,1,1940,0,appartement,28,3
1013 MM Amsterdam,IJdok 63,52.38459,4.894315,1725000,248,720,1,2012,1,appartement,35,4
1051 JT Amsterdam,Van Bossestraat 45 2,52.380790000000005,4.8689919999999995,200000,33,92,1,1915,0,appartement,15,2
1012 GL Amsterdam,Oudezijds Voorburgwal 266 -D,52.37146,4.895018,800000,100,442,1,2007,0,appartement,29,4
1061 VX Amsterdam,Derkinderenstraat 144,52.367709999999995,4.840657,375000,101,330,1,2008,0,appartement,32,4
1022 KD Amsterdam,Noorderkwartier (Bouwnr. 61),52.406040000000004,4.931375,533868,172,430,2,2016,1,woonhuis,4,5
1021 PS Amsterdam,Het Dok 11,52.3827,4.91603,210000,48,149,1,1983,0,appartement,25,2
1061 EX Amsterdam,Lauernessestraat 6 II,52.38214,4.841772,200000,53,150,4,1951,0,appartement,22,3
1094 HL Amsterdam,Javastraat 80 4,52.3636,4.934936,319000,58,181,1,1905,0,appartement,17,2
1033 HN Amsterdam,Vegastraat 51,52.410059999999994,4.889105000000001,289000,90,227,2,1937,1,woonhuis,22,5
1064 EA Amsterdam,Burgemeester Hogguerstraat 759,52.3723,4.829312,150000,46,155,1,1963,0,appartement,28,2
1035 HD Amsterdam,Bruinvisstraat 27,52.42364,4.88435,200000,95,240,3,1991,1,woonhuis,32,4
1103 JX Amsterdam,Parkeerplaats Ganzenpoort,52.32253,4.972099,7750,0,0,1,0,0,parkeergelegenheid,1,1
1011 Amsterdam,Valkenburgerstraat,52.37777,4.905539,75000,0,0,1,0,0,parkeergelegenheid,2,1
1021 JD Amsterdam,Meeuwenlaan 187 -B,52.38584,4.918916,275000,75,275,3,1930,0,appartement,31,4
1069 SE Amsterdam,Pieter Calandlaan 1083,52.35099,4.796082,272500,85,271,1,2006,0,appartement,20,3
1107 LD Amsterdam,Steenderenstraat 78,52.29425,4.983179,159000,88,255,1,1983,0,appartement,23,3
